Location,Food_Type,Claims_Count
Adambury,Non-Vegetarian,3
Alexanderchester,Vegetarian,2
Allenborough,Vegan,1
Allenton,Vegetarian,2
Allenton,Vegan,1
Allenton,Non-Vegetarian,1
Amandashire,Vegan,1
Amberton,Non-Vegetarian,2
Amberton,Vegan,1
Andersonmouth,Vegetarian,2
Andersonville,Vegetarian,1
Andreaborough,Vegetarian,2
Andreaborough,Vegan,1
Anneville,Vegetarian,4
Anneville,Non-Vegetarian,1
Anthonyborough,Vegetarian,1
Anthonyshire,Vegan,1
Anthonyton,Vegan,1
Aprilberg,Non-Vegetarian,2
Bartonborough,Vegan,2
Basstown,Vegetarian,3
Batesstad,Vegetarian,2
Bellport,Vegetarian,1
Benjaminstad,Vegan,1
Bentleyburgh,Non-Vegetarian,2
Bentleyburgh,Vegan,1
Bentonfurt,Non-Vegetarian,2
Blaketown,Vegetarian,1
Bonillahaven,Vegetarian,1
Boylechester,Vegetarian,1
Bradleyport,Vegetarian,4
Brandyberg,Vegan,1
Brandyberg,Non-Vegetarian,1
Brittanyland,Non-Vegetarian,3
Brittanyside,Vegan,4
Brittanyville,Non-Vegetarian,2
Brittanyville,Vegan,1
Brookeland,Vegan,1
Brownberg,Vegan,1
Brownchester,Vegan,1
Brownshire,Non-Vegetarian,2
Callahanside,Vegan,2
Cameronside,Vegetarian,3
Carlbury,Non-Vegetarian,1
Carolchester,Vegetarian,2
Carolchester,Vegan,2
Castilloport,Non-Vegetarian,2
Charlesmouth,Non-Vegetarian,2
Chelseaside,Non-Vegetarian,2
Chelseyfort,Non-Vegetarian,1
Christinamouth,Non-Vegetarian,2
Christinetown,Vegan,1
Christopherstad,Vegan,1
Christopherton,Vegetarian,2
Cisnerostown,Vegetarian,2
Cisnerostown,Non-Vegetarian,1
Clarkberg,Vegetarian,4
Clarkberg,Non-Vegetarian,1
Coleburgh,Vegan,3
Coleburgh,Vegetarian,1
Colemanton,Vegetarian,1
Colemanton,Non-Vegetarian,1
Collinsmouth,Vegetarian,2
Cunninghambury,Vegan,3
Danachester,Vegan,3
Darrylchester,Vegetarian,3
Davidborough,Non-Vegetarian,2
Davidland,Non-Vegetarian,2
Davidport,Non-Vegetarian,1
Davidville,Vegetarian,3
Davidville,Vegan,1
Davisview,Vegan,1
Deborahfurt,Non-Vegetarian,2
Deborahland,Vegan,1
Deckermouth,Vegetarian,2
Derekport,Vegetarian,2
Devinmouth,Non-Vegetarian,4
Devinmouth,Vegetarian,1
Devinmouth,Vegan,1
Donnaborough,Vegetarian,2
Donnaborough,Vegan,1
Donnaborough,Non-Vegetarian,1
East Aaron,Non-Vegetarian,1
East Amyfurt,Vegan,1
East Andrea,Vegan,2
East Andrewland,Non-Vegetarian,3
East Angela,Vegetarian,1
East Angela,Vegan,1
East Angelafort,Vegetarian,3
East Anthony,Vegetarian,2
East Ashleyshire,Non-Vegetarian,1
East Austin,Vegan,5
East Austin,Non-Vegetarian,1
East Bernard,Vegan,3
East Brittanyland,Non-Vegetarian,1
East Candace,Vegetarian,3
East Candace,Non-Vegetarian,1
East Courtneymouth,Non-Vegetarian,1
East Craig,Vegetarian,1
East Craig,Vegan,1
East Deniseborough,Vegan,1
East Edwinburgh,Vegetarian,1
East Elizabeth,Vegetarian,1
East Elizabethberg,Vegan,2
East Elizabethberg,Non-Vegetarian,1
East Emily,Non-Vegetarian,1
East Emilyburgh,Vegetarian,1
East Garyton,Non-Vegetarian,3
East Heatherport,Non-Vegetarian,8
East Heatherport,Vegetarian,4
East Jacobchester,Vegan,1
East Jacobchester,Non-Vegetarian,1
East John,Vegetarian,5
East John,Vegan,2
East Johnburgh,Non-Vegetarian,1
East Kevin,Vegan,1
East Lisa,Vegetarian,2
East Lori,Non-Vegetarian,1
East Meganfort,Vegan,2
East Nicholasbury,Non-Vegetarian,1
East Richardside,Vegetarian,1
East Robert,Vegetarian,1
East Robert,Vegan,1
East Roberthaven,Non-Vegetarian,3
East Samantha,Vegetarian,2
East Sandratown,Vegetarian,2
East Sandratown,Non-Vegetarian,2
East Shanestad,Vegetarian,1
East Sheena,Vegan,1
East Sonyaport,Non-Vegetarian,1
East Stephanie,Vegetarian,3
East Stephanie,Non-Vegetarian,2
East Stephanie,Vegan,1
East Tammy,Vegan,3
East Tammy,Non-Vegetarian,1
East Terrancemouth,Vegetarian,3
East Terrancemouth,Vegan,2
East Timothy,Vegetarian,1
Edwardsbury,Non-Vegetarian,2
Erikatown,Non-Vegetarian,3
Evansmouth,Vegan,1
Floresville,Vegetarian,1
Fowlerbury,Vegetarian,1
Francisshire,Vegetarian,1
Francisshire,Vegan,1
Frederickside,Vegan,3
Frederickside,Vegetarian,1
Frederickside,Non-Vegetarian,1
Gaineschester,Vegetarian,2
Garciatown,Vegetarian,1
Garciatown,Non-Vegetarian,1
Gardnerfort,Vegetarian,1
Garzaville,Non-Vegetarian,1
Gibsonfort,Vegetarian,1
Ginaview,Non-Vegetarian,1
Grahamside,Vegetarian,1
Gutierrezshire,Vegetarian,2
Gutierrezshire,Non-Vegetarian,1
Harrishaven,Vegetarian,2
Harrisonbury,Non-Vegetarian,3
Heatherside,Vegan,1
Heatherview,Vegan,2
Henrychester,Non-Vegetarian,1
Herbertbury,Vegan,1
Herbertbury,Non-Vegetarian,1
Hestermouth,Vegan,3
Hollyhaven,Vegan,1
Hollyhaven,Non-Vegetarian,1
Huberstad,Vegan,1
Jamesfurt,Vegan,5
Jamesfurt,Non-Vegetarian,4
Jasonmouth,Non-Vegetarian,3
Jasonmouth,Vegan,1
Jasonstad,Vegan,2
Jasonstad,Non-Vegetarian,1
Jeffreybury,Vegetarian,2
Jeffreyport,Non-Vegetarian,1
Jeffreyshire,Non-Vegetarian,3
Jeffreyshire,Vegetarian,1
Jenniferville,Vegan,1
Jessicaland,Vegetarian,1
Jessicaland,Vegan,1
Johnsonborough,Non-Vegetarian,1
Johnton,Vegetarian,2
Jonathanhaven,Vegan,2
Jonathanhaven,Non-Vegetarian,1
Jonathanmouth,Vegetarian,2
Jonathanstad,Vegetarian,2
Jonathanstad,Non-Vegetarian,1
Joneshaven,Vegan,2
Joneshaven,Non-Vegetarian,1
Jonestown,Non-Vegetarian,2
Jordanborough,Vegan,3
